Tweet,Message,polarity,match
1,RT And this article provides a great example of the kind of community spirit that we need to get through this a spirit that w,positive,['great']
2,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
3,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
4,RT Canadians Avoid non essential travel outside of Canada If you choose to travel despite our advice you may have difficulty,negative,['difficulty']
5,Second Wave of Retail Bankruptcies Expected in Canada Amid COVID Pandemic Expert,neutral
6,RT m marandi Govts that block steal Iranian assets at the behest of Trump or on their own initiative are directly aiding the US weaponi,neutral
7,RT NEW If you are returning home from outside of Canada the government will now be using the Quarantine Act to enforce MA,neutral
8,Sigan consumi ndole a los gringos,neutral
9,How was I shuffled into ja,neutral
10,CANADA INC Canada Look at this CANADA Canada,neutral
11,So like we gonna talk about how it s am where Justin is in Canada and he is just now going to bed SIRRRRR,positive,['like']
12,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
13,Sigan consumi ndole a los gringos,neutral
14,w,neutral
15,,neutral
16,RT Different people in Canada and the U S report massive movement of heavy military equipment Is this the real reason for the,neutral
17,RT It s now clear albeit with the benefit of hindsight that the government indeed all governments in Canada underesti,positive,"['clear', 'benefit']"
18,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
19,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
20,RT n Pandemics with Chinese Characteristics Buy all medical supplies around the world Make domestic sales illegal Donat,negative,['illegal']
21,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
22,RT KashmirUnderModiCorona Prevent the next Genocide in India by Three emails if you live in Canada Please find the letter W,negative,['Genocide']
23,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
24,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
25,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
26,RT How countries are responding to the Coronavirus England Paying of people s salary Denmark Paying of people s,neutral
27,RT nouveaux relev s d tat civil sont maintenant sur Filae O Ain Ardennes C te d Or Dordogne Maine et Loire M,neutral
28,BLAST FROM THE PAST Canada Annan nd XV team who took on Montreal Barbarians Smile for the camera StayIndoors StaySafe,positive,['Smile']
29,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
30,Yes I think it would be a great idea for Harry Meghan and Archie to travel from Canada to come and stay with their elderly and vulnerable relatives during a viral pandemic,neutral
31,RT It may suffice to mention that no one would have to blackmail anyone to show empathy to Justin if he contracts the virus http,neutral
32,To my dear friends in Canada please take head Ismaili Ismailimail,neutral
33,RT This is a COVID Canadian freelance artist resource list If you know of any other resources please tweet me And plea,negative,['plea']
34,RT f First Pakistani Winter Olympian Brings Pride to a Small Village Skier Muhammad Abbas made a little sporting history by regis,positive,['Pride']
35,Acetech is a leading software developmentcompany Acetech has over a decade of rich experience in delivering critical software solutions to its clients in USA Canada amp UK StayHome StayHomeBands congratulationsamerica JOOPOCALYPSE CoronaVillains,positive,"['leading', 'rich']"
36,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
37,RT BBC,neutral
38,Hi sir people in Canada has full geo location map details of Covid patient found before he is isolated Data for Telangana might help in designing the impacted route This data is not P but requesting govt to share if any govt employee is doing WFH,neutral
39,But in China Clean street High technology Delicious foods and developed cities how dare the fking India always compared with China India just be used by US all the time so many smelly Indian immigrated to Canada Why they escaped from their own country,positive,"['Clean', 'Delicious']"
40,RT It may suffice to mention that no one would have to blackmail anyone to show empathy to Justin if he contracts the virus,neutral
41,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
42,Which is more than the population of Canada That being said the gdp of the USA is trillion The gdp of canada is under trillion Trudeau is giving billion just in care aid to support people and businesses to help protect the economy when this all ends,positive,"['support', 'protect']"
43,RT It may suffice to mention that no one would have to blackmail anyone to show empathy to Justin if he contracts the virus,neutral
44,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
45,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
46,RT Did I see you Americans are getting a one time check to cover COVID unemployment Because Canada just announced,neutral
47,RT rodd Hola amigos Les dejo mi nota del d a respecto a la posici n de la organizaci n del GP de Canad sobre su posible realizaci,neutral
48,RT And this article provides a great example of the kind of community spirit that we need to get through this a spirit that w,positive,['great']
49,RT It may suffice to mention that no one would have to blackmail anyone to show empathy to Justin if he contracts the virus,neutral
50,Coronavirus What s happening in Canada and around the world March,neutral
51,glg Thanks glg for this Yes i know about this theory and this is relevant in this whole pandemic situation But still i m searching for the source of what quoted I heard the same story first patient from dubai n then canada n suddenly it outbreaks in wuhan,positive,['patient']
52,Team Canada in Jesus name your future Prime Minister in action,neutral
53,RT stevenson Back in we sponsored a refugee family to come to Canada Today knowing that we re self isolating because of trav,neutral
